Cycle,Crack Size,da/dN,a/W,Date,Time,Pmax,Pmin,Delta P,R ratio,Kmax,Kmin,Delta K,Compliance,COD max,COD min,SP-Pmax,SP-Pmin,Step,Frequency,Baseline Pmin,Baseline Delta K, Remarks,1% Sop/Smax,2% Sop/Smax,4% Sop/Smax,1% Delta Keff,2% Delta Keff,4% Delta Keff
96460,10.011,1E-07,0.394,27-Dec-19,14:42:02,1.746,0.002,1.744,0.001,12.664,0.012,12.652,0.028693,0.032,-0.018,1.75,0,0,50,0,12.664,,0.304,0.474,0,8.814,6.66,12.664
96512,10.013,1E-07,0.394,27-Dec-19,14:42:03,1.747,0,1.747,0,12.667,0.003,12.664,0.028419,0.032,-0.018,1.75,0,0,50,0,12.667,,0.297,0.306,0,8.9,8.792,12.667
96616,10.016,2E-07,0.394,27-Dec-19,14:42:05,1.747,0.004,1.743,0.002,12.676,0.03,12.646,0.028573,0.032,-0.018,1.75,0,0,50,0,12.676,,0.466,0.49,0,6.768,6.46,12.676
96720,10.016,2E-07,0.393,27-Dec-19,14:42:07,1.751,-0.001,1.752,-0.001,12.666,-0.007,12.666,0.028339,0.032,-0.019,1.75,0,0,50,0,12.666,,0.395,0.431,0,7.663,7.209,12.666
96824,10.016,2E-07,0.394,27-Dec-19,14:42:09,1.748,0.004,1.744,0.002,12.664,0.031,12.634,0.028227,0.032,-0.018,1.75,0,0,50,0,12.664,,0.472,0,0,6.693,12.664,12.664
96928,10.016,2E-07,0.394,27-Dec-19,14:42:11,1.752,0,1.752,0,12.689,-0.001,12.689,0.028444,0.032,-0.018,1.75,0,0,50,0,12.689,,0.45,0.472,0,6.975,6.705,12.689
97032,10.016,2E-07,0.393,27-Dec-19,14:42:13,1.75,-0.001,1.75,0,12.652,-0.004,12.652,0.028306,0.032,-0.018,1.75,0,0,50,0,12.652,,0.462,0.759,0,6.8,3.049,12.652
97136,10.016,2E-07,0.393,27-Dec-19,14:42:15,1.75,0.004,1.746,0.002,12.664,0.03,12.634,0.028686,0.032,-0.018,1.75,0,0,50,0,12.664,,0.425,0.448,0,7.279,6.996,12.664
97240,10.016,2E-07,0.394,27-Dec-19,14:42:17,1.754,0.001,1.753,0.001,12.707,0.01,12.698,0.02848,0.032,-0.018,1.75,0,0,50,0,12.707,,0.457,0.471,0,6.896,6.723,12.707
97344,10.016,2E-07,0.394,27-Dec-19,14:42:19,1.746,0.003,1.744,0.002,12.667,0.02,12.647,0.028307,0.032,-0.018,1.75,0,0,50,0,12.667,,0.43,0.451,0,7.216,6.953,12.667
97448,10.016,2E-07,0.394,27-Dec-19,14:42:22,1.748,0.002,1.747,0.001,12.673,0.013,12.66,0.0284,0.032,-0.018,1.75,0,0,50,0,12.673,,0.418,0.437,0.477,7.377,7.129,6.633
97552,10.016,2E-07,0.393,27-Dec-19,14:42:24,1.753,-0.001,1.754,-0.001,12.685,-0.009,12.685,0.028527,0.032,-0.018,1.75,0,0,50,0,12.685,,0.305,0.595,0,8.818,5.133,12.685
97656,10.016,2E-07,0.394,27-Dec-19,14:42:26,1.756,0.001,1.754,0.001,12.716,0.009,12.706,0.028563,0.032,-0.018,1.75,0,0,50,0,12.716,,0.393,0,0,7.713,12.716,12.716
97760,10.016,2E-07,0.394,27-Dec-19,14:42:28,1.752,0.003,1.749,0.002,12.7,0.022,12.678,0.028287,0.032,-0.018,1.75,0,0,50,0,12.7,,0.466,0.552,0,6.787,5.695,12.7
97864,10.016,2E-07,0.393,27-Dec-19,14:42:30,1.75,0.005,1.745,0.003,12.663,0.037,12.627,0.028235,0.032,-0.018,1.75,0,0,50,0,12.663,,0.3,0.475,0,8.862,6.653,12.663
97968,10.016,2E-07,0.394,27-Dec-19,14:42:32,1.75,0,1.75,0,12.669,-0.001,12.669,0.02865,0.032,-0.018,1.75,0,0,50,0,12.669,,0.442,0.458,0,7.072,6.87,12.669
98072,10.016,2E-07,0.394,27-Dec-19,14:42:34,1.751,0.003,1.748,0.002,12.69,0.023,12.667,0.02848,0.032,-0.018,1.75,0,0,50,0,12.69,,0.47,0.49,0,6.722,6.471,12.69
98176,10.016,2E-07,0.394,27-Dec-19,14:42:36,1.757,0.005,1.752,0.003,12.749,0.036,12.712,0.028529,0.032,-0.018,1.75,0,0,50,0,12.749,,0.312,0.442,0,8.772,7.114,12.749
98280,10.016,2E-07,0.394,27-Dec-19,14:42:39,1.75,0.001,1.749,0.001,12.688,0.008,12.68,0.028551,0.032,-0.018,1.75,0,0,50,0,12.688,,0.468,0.483,0,6.747,6.555,12.688
98384,10.016,2E-07,0.394,27-Dec-19,14:42:41,1.745,0.002,1.743,0.001,12.657,0.016,12.64,0.028436,0.032,-0.018,1.75,0,0,50,0,12.657,,0.386,0.405,0,7.767,7.536,12.657
